,elasticsearch-master - statefulset,my-kibana-kibana - deployment,Total
2022-01-17 22:54:00,4798087168.0,438194176.0,5236281344.0
2022-01-17 22:54:15,4798224896.0,438275072.0,5236499968.0
2022-01-17 22:54:30,4798362624.0,438355968.0,5236718592.0
2022-01-17 22:54:45,4798500352.0,438436864.0,5236937216.0
2022-01-17 22:55:00,4798638080.0,438517760.0,5237155840.0
2022-01-17 22:55:15,4798775808.0,438598656.0,5237374464.0
2022-01-17 22:55:30,4798913536.0,438679552.0,5237593088.0
2022-01-17 22:55:45,4799051264.0,438760448.0,5237811712.0
2022-01-17 22:56:00,4799188992.0,438841344.0,5238030336.0
2022-01-17 22:56:15,4799190016.0,438676480.0,5237866496.0
2022-01-17 22:56:30,4799191040.0,438511616.0,5237702656.0
2022-01-17 22:56:45,4799192064.0,438346752.0,5237538816.0
2022-01-17 22:57:00,4799193088.0,438181888.0,5237374976.0
2022-01-17 22:57:15,4799194112.0,438017024.0,5237211136.0
2022-01-17 22:57:30,4799195136.0,437852160.0,5237047296.0
2022-01-17 22:57:45,4799196160.0,437687296.0,5236883456.0
2022-01-17 22:58:00,4799197184.0,437522432.0,5236719616.0
2022-01-17 22:58:15,4799390208.0,437531648.0,5236921856.0
2022-01-17 22:58:30,4799583232.0,437540864.0,5237124096.0
2022-01-17 22:58:45,4954914746.968381,437550080.0,5392464826.968381
2022-01-17 22:59:00,5074903864.195542,437559296.0,5512463160.195542
2022-01-17 22:59:15,4994158494.207632,437568512.0,5431727006.207632
2022-01-17 22:59:30,4952682495.195513,437577728.0,5390260223.195513
2022-01-17 22:59:45,4865587236.71749,437586944.0,5303174180.71749
2022-01-17 23:00:00,5025819896.1670885,437596160.0,5463416056.1670885
