,my-fluentd - daemonset,my-fluentd - statefulset,Total
2022-01-17 22:54:00,577635903.1612952,98508834.1038778,676144737.265173
2022-01-17 22:54:15,577375424.0840572,98539696.58984427,675915120.6739014
2022-01-17 22:54:30,577485922.4518696,98534904.19959989,676020826.6514695
2022-01-17 22:54:45,577726971.0608833,98570289.49384688,676297260.5547302
2022-01-17 22:55:00,577655670.8501315,98568984.72682315,676224655.5769546
2022-01-17 22:55:15,577112359.12338,98541942.96462527,675654302.0880052
2022-01-17 22:55:30,577480450.9075695,98546535.23287903,676026986.1404486
2022-01-17 22:55:45,577270094.8968083,98520490.51548651,675790585.4122947
2022-01-17 22:56:00,577279288.4442712,98498003.69192371,675777292.136195
2022-01-17 22:56:15,577377418.1805531,98531597.4901232,675909015.6706762
2022-01-17 22:56:30,577326511.0539801,98541971.79898043,675868482.8529606
2022-01-17 22:56:45,577576741.0571809,98564066.3103434,676140807.3675243
2022-01-17 22:57:00,577444345.6759102,98563492.0927794,676007837.7686896
2022-01-17 22:57:15,577322239.0683131,98530786.60083342,675853025.6691465
2022-01-17 22:57:30,577383771.1369838,98532535.82538669,675916306.9623704
2022-01-17 22:57:45,577362727.0672444,98517183.00533581,675879910.0725802
2022-01-17 22:58:00,577584343.1937861,98509540.74974741,676093883.9435335
2022-01-17 22:58:15,577259819.8771998,98503651.59990065,675763471.4771004
2022-01-17 22:58:30,577358791.5778468,98578889.04936095,675937680.6272078
2022-01-17 22:58:45,634849473.1302775,108381096.9625673,743230570.0928448
2022-01-17 22:59:00,634492569.5941489,108382716.81408799,742875286.4082369
2022-01-17 22:59:15,635166213.6410452,108364279.17465436,743530492.8156996
2022-01-17 22:59:30,635210502.1868573,108410225.79109313,743620727.9779505
2022-01-17 22:59:45,634872987.5270412,108356107.20291716,743229094.7299583
2022-01-17 23:00:00,635505731.3728573,108387816.26180156,743893547.6346589
