time;Time(s);Bandwidth(Mbits/s)
2022/01/17 23:29:38;1.0;11.5
2022/01/17 23:29:39;2.0;10.5
2022/01/17 23:29:40;3.0;9.44
2022/01/17 23:29:41;4.0;8.73
2022/01/17 23:29:42;5.0;9.77
2022/01/17 23:29:43;6.0;9.77
2022/01/17 23:29:44;7.0;10.3
2022/01/17 23:29:45;8.0;9.77
2022/01/17 23:29:46;9.0;9.77
2022/01/17 23:29:47;10.0;10.3
2022/01/17 23:29:48;11.0;13.4
2022/01/17 23:29:49;12.0;7.71
2022/01/17 23:29:50;13.0;6.68
2022/01/17 23:29:51;14.0;2.06
2022/01/17 23:29:52;15.0;13.4
2022/01/17 23:29:53;16.0;8.74
2022/01/17 23:29:54;17.0;7.71
2022/01/17 23:29:55;18.0;7.71
2022/01/17 23:29:56;19.0;5.14
2022/01/17 23:29:57;20.0;4.11
2022/01/17 23:29:58;21.0;14.9
2022/01/17 23:29:59;22.0;7.71
2022/01/17 23:30:00;23.0;7.71
2022/01/17 23:30:01;24.0;7.71
2022/01/17 23:30:02;25.0;7.71
2022/01/17 23:30:03;26.0;7.71
2022/01/17 23:30:04;27.0;7.71
2022/01/17 23:30:05;28.0;7.71
2022/01/17 23:30:06;29.0;1.03
2022/01/17 23:30:07;30.0;0.00
2022/01/17 23:30:08;31.0;0.00
2022/01/17 23:30:09;32.0;0.00
2022/01/17 23:30:10;33.0;0.00
2022/01/17 23:30:11;34.0;0.00
2022/01/17 23:30:12;35.0;0.00
2022/01/17 23:30:13;36.0;0.00
2022/01/17 23:30:14;37.0;0.00
2022/01/17 23:30:15;38.0;0.00
2022/01/17 23:30:16;39.0;0.00
2022/01/17 23:30:17;40.0;0.00
2022/01/17 23:30:18;41.0;0.00
2022/01/17 23:30:19;42.0;0.00
2022/01/17 23:30:20;43.0;0.00
2022/01/17 23:30:21;44.0;0.00
2022/01/17 23:30:22;45.0;0.00
2022/01/17 23:30:23;46.0;0.00
2022/01/17 23:30:24;47.0;0.00
2022/01/17 23:30:25;48.0;0.00
2022/01/17 23:30:26;49.0;0.00
2022/01/17 23:30:27;50.0;0.00
2022/01/17 23:30:28;51.0;0.00
2022/01/17 23:30:29;52.0;0.00
2022/01/17 23:30:30;53.0;0.00
2022/01/17 23:30:31;54.0;0.00
2022/01/17 23:30:32;55.0;0.00
2022/01/17 23:30:33;56.0;0.00
2022/01/17 23:30:34;57.0;0.00
2022/01/17 23:30:35;58.0;0.00
2022/01/17 23:30:36;59.0;0.00
2022/01/17 23:30:37;60.0;0.00
