time;Time(s);Bandwidth(Mbits/s)
2022/01/17 22:58:18;1.0;10.5
2022/01/17 22:58:19;2.0;9.44
2022/01/17 22:58:20;3.0;12.6
2022/01/17 22:58:21;4.0;8.39
2022/01/17 22:58:22;5.0;8.46
2022/01/17 22:58:23;6.0;10.3
2022/01/17 22:58:24;7.0;9.77
2022/01/17 22:58:25;8.0;9.77
2022/01/17 22:58:26;9.0;10.3
2022/01/17 22:58:27;10.0;10.3
2022/01/17 22:58:28;11.0;13.4
2022/01/17 22:58:29;12.0;7.71
2022/01/17 22:58:30;13.0;7.20
2022/01/17 22:58:31;14.0;3.08
2022/01/17 22:58:32;15.0;6.68
2022/01/17 22:58:33;16.0;13.9
2022/01/17 22:58:34;17.0;8.23
2022/01/17 22:58:35;18.0;7.71
2022/01/17 22:58:36;19.0;2.57
2022/01/17 22:58:37;20.0;11.8
2022/01/17 22:58:38;21.0;9.25
2022/01/17 22:58:39;22.0;7.20
2022/01/17 22:58:40;23.0;7.71
2022/01/17 22:58:41;24.0;7.71
2022/01/17 22:58:42;25.0;7.71
2022/01/17 22:58:43;26.0;8.23
2022/01/17 22:58:44;27.0;7.71
2022/01/17 22:58:45;28.0;7.71
2022/01/17 22:58:46;29.0;7.71
2022/01/17 22:58:47;30.0;7.71
2022/01/17 22:58:48;31.0;7.71
2022/01/17 22:58:49;32.0;7.71
2022/01/17 22:58:50;33.0;4.11
2022/01/17 22:58:51;34.0;6.17
2022/01/17 22:58:52;35.0;1.54
2022/01/17 22:58:53;36.0;15.4
2022/01/17 22:58:54;37.0;8.23
2022/01/17 22:58:55;38.0;7.71
2022/01/17 22:58:56;39.0;7.71
2022/01/17 22:58:57;40.0;7.71
2022/01/17 22:58:58;41.0;7.71
2022/01/17 22:58:59;42.0;0.5
2022/01/17 22:59:00;43.0;14.9
2022/01/17 22:59:01;44.0;8.74
2022/01/17 22:59:02;45.0;7.71
2022/01/17 22:59:03;46.0;7.71
2022/01/17 22:59:04;47.0;7.71
2022/01/17 22:59:05;48.0;7.71
2022/01/17 22:59:06;49.0;8.23
2022/01/17 22:59:07;50.0;7.71
2022/01/17 22:59:08;51.0;7.71
2022/01/17 22:59:09;52.0;7.71
2022/01/17 22:59:10;53.0;7.71
2022/01/17 22:59:11;54.0;7.71
2022/01/17 22:59:12;55.0;7.71
2022/01/17 22:59:13;56.0;7.71
2022/01/17 22:59:14;57.0;5.14
2022/01/17 22:59:15;58.0;3.08
2022/01/17 22:59:16;59.0;15.9
2022/01/17 22:59:17;60.0;7.71
